,Time,Temperature,Humidity,Moisture
21-06-2022,02:42:02,100,32,331
21-06-2022,11:02:04,24.8,84,78
21-06-2022,11:02:28,24.8,84,78
21-06-2022,11:02:39,100,32,331
21-06-2022,11:02:43,24.8,84,78
21-06-2022,11:02:50,32,,
21-06-2022,11:03:05,24.7,84,78
21-06-2022,11:03:22,24.7,84,78
21-06-2022,11:03:35,24.7,84,78
21-06-2022,11:04:11,24.8,85,79
21-06-2022,11:04:24,24.8,85,79
21-06-2022,11:04:37,24.8,84,78
21-06-2022,11:05:02,24.9,84,78
21-06-2022,11:05:26,24.9,84,78
21-06-2022,11:05:52,25,84,78
21-06-2022,11:06:09,25,84,78
21-06-2022,11:06:33,25,84,78
21-06-2022,11:06:47,25,84,78
21-06-2022,12:45:38,26.5,77,71
21-06-2022,12:45:46,26.5,77,71
21-06-2022,12:46:01,26.5,77,71
21-06-2022,12:46:12,26.5,77,71
21-06-2022,12:46:27,26.5,77,71
21-06-2022,12:54:08,26.2,78,49
21-06-2022,12:54:40,26.2,78,49
21-06-2022,12:54:54,26.1,79,50
21-06-2022,12:55:13,26.1,79,50
21-06-2022,12:55:33,26.1,79,50
21-06-2022,12:56:00,26,79,50
21-06-2022,12:56:11,26,81,52
21-06-2022,12:56:32,26,79,50
21-06-2022,12:56:52,26,79,50
21-06-2022,12:57:14,26,81,52
21-06-2022,12:57:25,26,80,51
21-06-2022,12:57:51,26,79,50
21-06-2022,12:58:02,26,80,51
21-06-2022,12:59:32,26,80,51
21-06-2022,12:59:49,26,80,51
21-06-2022,13:00:14,26,80,51
21-06-2022,13:00:32,26.1,80,51
21-06-2022,13:00:40,26,79,50
21-06-2022,13:00:52,26,79,50
21-06-2022,13:01:05,26,79,50
21-06-2022,13:33:19,26,76,47
21-06-2022,13:33:42,26,76,47
21-06-2022,13:33:53,26,76,47
21-06-2022,13:34:08,25.9,75,47
21-06-2022,13:34:22,25.9,75,47
21-06-2022,13:34:47,25.9,75,47
21-06-2022,13:35:22,25.9,75,47
21-06-2022,13:35:36,25.8,75,47
21-06-2022,13:36:01,25.8,76,48
21-06-2022,13:36:20,25.8,76,48
21-06-2022,13:36:48,25.9,76,48
21-06-2022,13:37:24,25.9,76,48
21-06-2022,13:37:45,25.9,76,48
21-06-2022,13:38:02,26,76,47
21-06-2022,14:02:09,26.5,75,46
21-06-2022,14:02:41,26.6,75,46
21-06-2022,14:02:48,26.6,75,46
21-06-2022,14:03:03,26.6,76,47
21-06-2022,14:03:17,26.6,76,47
21-06-2022,14:03:39,26.7,75,46
21-06-2022,14:03:50,26.7,75,46
21-06-2022,14:03:59,26.7,75,46
21-06-2022,14:04:12,26.7,75,46
21-06-2022,14:04:41,26.8,75,46
21-06-2022,14:05:15,26.8,75,46
21-06-2022,14:05:34,26.8,75,46
21-06-2022,14:05:49,26.8,74,45
21-06-2022,14:05:59,26.8,74,45
21-06-2022,14:06:11,26.8,75,46
21-06-2022,14:06:25,26.8,75,46
21-06-2022,14:06:40,26.8,75,46
21-06-2022,14:06:49,26.8,75,46
21-06-2022,14:07:09,26.8,75,46
21-06-2022,14:07:29,26.8,75,46
21-06-2022,14:07:44,26.8,75,46
21-06-2022,14:07:51,26.8,75,46
21-06-2022,14:08:05,26.8,75,46
21-06-2022,14:08:25,26.7,75,46
21-06-2022,14:08:32,26.7,75,46
21-06-2022,14:09:08,26.7,75,46
21-06-2022,14:09:40,26.7,75,46
21-06-2022,14:09:59,26.7,75,46
21-06-2022,14:10:14,26.7,76,47
21-06-2022,14:10:44,26.8,75,46
21-06-2022,14:11:19,26.9,75,45
21-06-2022,14:11:35,27,74,44
21-06-2022,14:11:46,27.1,74,44
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
